acc,Actinobacteria,Bacteroidetes,Candidatus Melainabacteria,Chlamydiae,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,class
SRR12162529,0.0,1158.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,31.0,0.0,0.0,0
SRR12162530,13.0,360.0,0.0,0.0,0.0,1.0,0.0,115.0,0.0,0.0,64.0,0.0,0.0,0
SRR12162531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162532,2.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,371.0,0.0,0.0,0
SRR12162535,35.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,244.0,0.0,0.0,1
SRR12162536,6.0,127.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162537,5.0,134.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,273.0,0.0,0.0,1
SRR12162538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,76.0,0.0,0.0,1
SRR12162540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,1
SRR12162541,15.0,110.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,179.0,0.0,0.0,0
SRR12162542,9.0,540.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162543,5.0,8.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,416.0,0.0,0.0,1
SRR12162544,9.0,24.0,0.0,0.0,0.0,1.0,0.0,252.0,0.0,0.0,166.0,0.0,0.0,1
SRR12162545,0.0,3.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,535.0,0.0,0.0,1
SRR12162547,6.0,164.0,0.0,0.0,0.0,1.0,0.0,357.0,0.0,0.0,272.0,0.0,0.0,0
SRR12162548,0.0,72.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162549,4.0,45.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162550,15.0,116.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162551,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,1
SRR12162552,10.0,228.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,120.0,0.0,0.0,1
SRR12162553,0.0,230.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,268.0,0.0,0.0,1
SRR12162554,8.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162555,0.0,123.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162556,0.0,60.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,176.0,0.0,0.0,1
SRR12162557,0.0,222.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,323.0,0.0,0.0,1
SRR12162558,0.0,42.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,155.0,0.0,0.0,1
SRR12162560,3.0,113.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,370.0,0.0,0.0,0
SRR12162561,0.0,209.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,52.0,0.0,0.0,1
SRR12162562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162563,0.0,613.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,251.0,0.0,0.0,0
SRR12162564,7.0,7.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,325.0,0.0,0.0,1
SRR12162565,7.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,1.0,0.0,0.0,0.0,0.0,1
SRR12162568,6.0,179.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162569,4.0,217.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,746.0,0.0,0.0,1
SRR12162570,0.0,8.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,22.0,0.0,0.0,1
SRR12162572,25.0,166.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,406.0,0.0,0.0,1
SRR12162573,10.0,106.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162575,30.0,0.0,0.0,0.0,31.0,0.0,0.0,511.0,0.0,0.0,137.0,0.0,0.0,1
SRR12162576,0.0,0.0,0.0,0.0,30.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162577,0.0,0.0,0.0,0.0,123.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162579,0.0,0.0,0.0,0.0,129.0,0.0,0.0,130.0,0.0,0.0,12.0,0.0,0.0,0
SRR12162590,16.0,132.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,61.0,0.0,0.0,1
SRR12162591,0.0,77.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,308.0,0.0,0.0,1
SRR12162592,28.0,222.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,655.0,0.0,0.0,1
SRR12162593,0.0,62.0,0.0,0.0,0.0,0.0,0.0,1043.0,3.0,0.0,146.0,0.0,0.0,0
SRR12162594,9.0,9.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,84.0,0.0,0.0,1
SRR12162596,0.0,78.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,61.0,0.0,0.0,0
SRR12162599,30.0,902.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,373.0,1.0,0.0,1
SRR12162601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,81.0,0.0,0.0,1
SRR12162603,16.0,315.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162604,20.0,669.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162605,13.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162606,5.0,69.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,101.0,0.0,0.0,1
SRR12162607,221.0,0.0,0.0,0.0,0.0,0.0,0.0,658.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162608,1.0,2.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,83.0,0.0,0.0,1
SRR12162610,18.0,272.0,0.0,0.0,0.0,0.0,0.0,423.0,2.0,0.0,0.0,0.0,0.0,1
SRR12162612,6.0,158.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,770.0,0.0,0.0,0
SRR12162614,22.0,504.0,0.0,0.0,0.0,0.0,0.0,925.0,0.0,0.0,1288.0,0.0,0.0,1
SRR12162615,43.0,558.0,0.0,0.0,0.0,1.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162618,27.0,45.0,0.0,0.0,0.0,1.0,0.0,245.0,0.0,0.0,504.0,0.0,1.0,1
SRR12162619,6.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162621,3.0,498.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,252.0,0.0,0.0,1
SRR12162623,17.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,1.0,0.0,0
SRR12162624,11.0,19.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162625,16.0,531.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162626,7.0,202.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,100.0,0.0,0.0,0
SRR12162627,19.0,0.0,0.0,0.0,0.0,0.0,0.0,829.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162628,9.0,53.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,333.0,0.0,0.0,1
SRR12162630,5.0,117.0,0.0,0.0,0.0,0.0,0.0,176.0,1.0,0.0,683.0,882.0,0.0,1
SRR12162631,0.0,0.0,0.0,0.0,2735.0,0.0,0.0,18.0,0.0,0.0,29.0,258.0,0.0,1
SRR12162632,0.0,219.0,0.0,0.0,89.0,0.0,0.0,1893.0,21.0,0.0,391.0,0.0,0.0,0
SRR12162633,0.0,33.0,0.0,1.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162634,0.0,129.0,0.0,0.0,44.0,0.0,0.0,942.0,12.0,0.0,361.0,0.0,0.0,0
SRR12162635,3.0,27.0,0.0,0.0,6387.0,0.0,0.0,451.0,0.0,0.0,798.0,0.0,0.0,1
SRR12162639,0.0,0.0,0.0,0.0,268.0,0.0,0.0,40.0,0.0,0.0,41.0,0.0,0.0,0
SRR12162642,0.0,54.0,0.0,0.0,12.0,0.0,0.0,596.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162643,7.0,36.0,0.0,0.0,53.0,0.0,0.0,1919.0,0.0,0.0,100.0,0.0,0.0,1
SRR12162644,0.0,7.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162645,0.0,15.0,0.0,0.0,182.0,0.0,0.0,761.0,0.0,0.0,65.0,0.0,0.0,1
SRR12162646,0.0,0.0,0.0,0.0,70.0,0.0,0.0,17.0,0.0,0.0,19.0,0.0,0.0,1
SRR12162650,39.0,571.0,0.0,0.0,509.0,0.0,0.0,1113.0,0.0,0.0,990.0,0.0,0.0,1
SRR12162651,23.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,73.0,0.0,0.0,1
SRR12162652,0.0,21.0,0.0,0.0,10.0,0.0,0.0,143.0,0.0,0.0,20.0,0.0,0.0,1
SRR12162653,0.0,36.0,0.0,0.0,246.0,0.0,0.0,814.0,0.0,0.0,218.0,0.0,0.0,1
SRR12162655,0.0,67.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,83.0,0.0,0.0,0
SRR12162658,0.0,178.0,0.0,0.0,3335.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162659,0.0,92.0,0.0,0.0,489.0,0.0,0.0,321.0,0.0,0.0,332.0,1.0,0.0,1
SRR12162660,33.0,218.0,0.0,0.0,3062.0,0.0,0.0,2316.0,0.0,0.0,889.0,0.0,0.0,1
SRR12162661,0.0,29.0,0.0,0.0,265.0,0.0,0.0,471.0,0.0,0.0,237.0,0.0,0.0,1
SRR12162662,14.0,12.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,157.0,0.0,0.0,1
SRR12162663,0.0,0.0,0.0,0.0,240.0,0.0,0.0,26.0,0.0,0.0,149.0,0.0,0.0,1
SRR12162664,25.0,119.0,0.0,0.0,0.0,0.0,0.0,1272.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162665,24.0,58.0,0.0,0.0,62.0,0.0,0.0,1221.0,0.0,0.0,96.0,0.0,0.0,0
SRR12162666,0.0,31.0,0.0,0.0,1070.0,0.0,0.0,1365.0,0.0,0.0,185.0,0.0,0.0,0
SRR12162667,4.0,4.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,52.0,0.0,0.0,1
SRR12162669,0.0,59.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,167.0,0.0,0.0,0
SRR12162671,0.0,11.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162672,270.0,248.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,318.0,0.0,0.0,0
SRR12162673,0.0,126.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162675,6.0,253.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,157.0,0.0,0.0,0
SRR12162676,0.0,191.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162677,27.0,202.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,0.0,20.0,0.0,0.0,1
SRR12162678,2.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,0.0,183.0,0.0,0.0,0
SRR12162680,19.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,56.0,0.0,0.0,1
SRR12162683,6.0,287.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,359.0,0.0,0.0,0
SRR12162685,84.0,27.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,59.0,0.0,0.0,1
SRR12162686,14.0,106.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,147.0,0.0,0.0,1
SRR12162689,0.0,14.0,0.0,0.0,171.0,0.0,0.0,183.0,0.0,0.0,133.0,0.0,0.0,0
SRR12162692,0.0,169.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,78.0,0.0,0.0,1
SRR12162693,4.0,0.0,0.0,0.0,25.0,0.0,0.0,432.0,0.0,0.0,759.0,0.0,0.0,1
SRR12162694,12.0,134.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,79.0,0.0,0.0,1
SRR12162695,13.0,73.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,445.0,2.0,0.0,0
SRR12162697,5.0,2.0,0.0,0.0,2364.0,14.0,0.0,16.0,0.0,0.0,47.0,0.0,0.0,1
SRR12162700,0.0,0.0,0.0,0.0,234.0,0.0,0.0,247.0,0.0,0.0,88.0,0.0,0.0,1
SRR12162701,0.0,182.0,0.0,0.0,259.0,0.0,0.0,519.0,0.0,0.0,515.0,0.0,0.0,0
SRR12162702,24.0,321.0,1.0,0.0,187.0,0.0,0.0,1505.0,0.0,0.0,295.0,0.0,0.0,0
SRR12162706,0.0,0.0,0.0,0.0,101.0,0.0,0.0,6.0,0.0,0.0,48.0,0.0,0.0,1
SRR12162710,15.0,63.0,0.0,0.0,585.0,0.0,0.0,1441.0,0.0,0.0,817.0,0.0,0.0,0
SRR12162713,26.0,394.0,0.0,0.0,138.0,0.0,0.0,1498.0,0.0,0.0,249.0,0.0,0.0,0
SRR12162714,0.0,56.0,0.0,0.0,1950.0,0.0,0.0,479.0,0.0,0.0,204.0,0.0,0.0,1
SRR12162715,0.0,11.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,615.0,0.0,0.0,0
SRR12162716,0.0,13.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,746.0,0.0,0.0,0
SRR12162717,0.0,62.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,0.0,529.0,0.0,0.0,1
SRR12162719,0.0,205.0,0.0,0.0,192.0,0.0,0.0,655.0,0.0,0.0,780.0,0.0,0.0,0
SRR12162720,0.0,217.0,0.0,1.0,0.0,0.0,0.0,1366.0,0.0,0.0,10.0,0.0,0.0,1
SRR12162721,0.0,98.0,0.0,0.0,29.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162722,0.0,86.0,0.0,0.0,129.0,0.0,0.0,535.0,5.0,0.0,578.0,0.0,0.0,1
SRR12162724,0.0,22.0,0.0,0.0,230.0,0.0,0.0,426.0,0.0,0.0,740.0,0.0,0.0,1
SRR12162728,3.0,1826.0,0.0,0.0,73.0,0.0,0.0,257.0,0.0,0.0,184.0,0.0,0.0,1
SRR12162730,17.0,1959.0,0.0,0.0,0.0,0.0,0.0,5924.0,0.0,0.0,2047.0,0.0,0.0,1
SRR12162731,6.0,7.0,0.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,285.0,0.0,0.0,1
SRR12162732,0.0,23.0,0.0,0.0,85.0,0.0,0.0,46.0,0.0,0.0,202.0,0.0,0.0,0
SRR12162733,0.0,0.0,0.0,0.0,77.0,0.0,0.0,142.0,0.0,0.0,69.0,0.0,0.0,0
SRR12162734,0.0,96.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,205.0,0.0,0.0,1
SRR12162735,8.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,239.0,0.0,0.0,0
SRR12162736,35.0,52.0,0.0,0.0,0.0,1.0,0.0,770.0,0.0,0.0,678.0,0.0,0.0,0
SRR12162737,0.0,60.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,195.0,0.0,0.0,1
SRR12162738,0.0,10.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,29.0,0.0,0.0,0
SRR12162739,7.0,456.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,113.0,0.0,0.0,1
SRR12162740,3.0,0.0,0.0,1.0,162.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162741,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162742,0.0,19.0,0.0,0.0,218.0,0.0,0.0,666.0,0.0,0.0,358.0,0.0,0.0,1
SRR12162743,0.0,2.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,136.0,0.0,0.0,0
SRR12162744,14.0,275.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,0.0,269.0,0.0,0.0,1
SRR12162745,6.0,12.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,60.0,0.0,0.0,0
