acc,Acholeplasmatales,Acidaminococcales,Acidilobales,Acidobacteriales,Actinomycetales,Aeromonadales,Alteromonadales,Anaerolineales,Anaeroplasmatales,Aquificales,Arenicellales,Bacillales,Bacteroidales,Balneolales,Bifidobacteriales,Blastocatellales,Brachyspirales,Bradymonadales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Cellvibrionales,Chitinophagales,Chlamydiales,Chloroflexales,Chromatiales,Chthonomonadales,Coriobacteriales,Corynebacteriales,Cytophagales,Deferribacterales,Deinococcales,Desulfovibrionales,Desulfuromonadales,Eggerthellales,Enterobacterales,Erysipelotrichales,Eubacteriales,Flavobacteriales,Fusobacteriales,Gaiellales,Geodermatophilales,Glycomycetales,Halanaerobiales,Hyphomicrobiales,Isosphaerales,Jiangellales,Kineosporiales,Kosmotogales,Lactobacillales,Legionellales,Leptospirales,Maricaulales,Marinilabiliales,Methanobacteriales,Methanomassiliicoccales,Methanosarcinales,Methylococcales,Micrococcales,Micromonosporales,Mycoplasmatales,Myxococcales,Neisseriales,Nevskiales,Nitrosomonadales,Nitrososphaerales,Nitrospirales,Nostocales,Oceanospirillales,Opitutales,Oscillatoriales,Pasteurellales,Pirellulales,Propionibacteriales,Pseudomonadales,Pseudonocardiales,Puniceicoccales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Rickettsiales,Rubrobacterales,Saprospirales,Selenomonadales,Silvanigrellales,Solirubrobacterales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Streptomycetales,Streptosporangiales,Synergistales,Syntrophobacterales,Thermales,Thermodesulfobacteriales,Thiotrichales,Tissierellales,Veillonellales,Verrucomicrobiales,Vibrionales,Victivallales,Xanthomonadales,class
SRR17641788,0.0,1077.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15220.0,0.0,2.0,0.0,0.0,0.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5807.0,56.0,1652.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0,0.0,0.0,0.0,0.0,1
SRR17641789,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7526.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,8522.0,78.0,1583.0,1.0,2.0,0.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,1384.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,788.0,0.0,0.0,0.0,0.0,1
SRR17641790,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21348.0,0.0,3.0,0.0,0.0,0.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,359.0,31.0,1890.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1
SRR17641791,0.0,2233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14278.0,0.0,11.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,426.0,0.0,1.0,0.0,0.0,88.0,0.0,19.0,1212.0,16.0,1989.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,27.0,1
SRR17641792,0.0,188.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,26543.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,1.0,0.0,0.0,0.0,416.0,0.0,7.0,1327.0,11.0,1722.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1122.0,0.0,0.0,0.0,0.0,1
SRR17641793,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22613.0,0.0,79.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,436.0,0.0,30.0,183.0,60.0,4298.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,249.0,0.0,0.0,1.0,1
SRR17641794,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25627.0,0.0,170.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,185.0,12.0,6419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1
SRR17641795,0.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27553.0,0.0,269.0,0.0,0.0,0.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,2915.0,18.0,2118.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,1
SRR17641796,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25036.0,0.0,189.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,893.0,19.0,3062.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1
SRR17641797,0.0,0.0,0.0,0.0,4.0,764.0,1.0,0.0,0.0,0.0,0.0,14.0,3400.0,0.0,55.0,0.0,0.0,0.0,72.0,1.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,568.0,13.0,0.0,3.0,0.0,128.0,0.0,2.0,6437.0,94.0,2456.0,5.0,21.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,9.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,36.0,232.0,1042.0,0.0,0.0,90.0,1
