acc,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Candidatus Thermoplasmatota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,class
SRR17641752,0.0,854.0,0.0,0.0,17501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13618.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641753,0.0,87.0,1.0,0.0,7033.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9492.0,0.0,0.0,0.0,0.0,1181.0,0.0,3.0,0.0,0.0,0.0,0.0,86.0,1
SRR17641754,0.0,105.0,0.0,0.0,11249.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14063.0,0.0,0.0,0.0,0.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1
SRR17641755,0.0,98.0,0.0,0.0,31185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11602.0,1655.0,0.0,0.0,0.0,344.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641756,0.0,61.0,0.0,0.0,7422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21716.0,5.0,0.0,0.0,0.0,5183.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
SRR17641757,0.0,210.0,0.0,0.0,15404.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1
SRR17641758,0.0,529.0,0.0,0.0,22300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7098.0,0.0,0.0,0.0,0.0,1609.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,1
SRR17641759,0.0,26.0,0.0,0.0,21559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966.0,151.0,0.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641760,0.0,120.0,0.0,0.0,22683.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6854.0,1579.0,0.0,0.0,0.0,8194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641761,0.0,185.0,0.0,0.0,28329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6973.0,4.0,0.0,0.0,0.0,2348.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0
SRR17641762,0.0,386.0,0.0,0.0,18806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17696.0,3.0,0.0,0.0,0.0,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641763,0.0,108.0,0.0,0.0,9423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11897.0,7.0,0.0,0.0,0.0,8401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641764,0.0,24.0,0.0,0.0,26069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712.0,76.0,0.0,0.0,0.0,1547.0,0.0,1.0,0.0,0.0,0.0,0.0,289.0,1
SRR17641765,2.0,395.0,0.0,0.0,29289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.0,1.0,0.0,0.0,0.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
SRR17641766,0.0,1044.0,0.0,0.0,7208.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16456.0,87.0,0.0,0.0,0.0,2264.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641767,1.0,238.0,0.0,0.0,30523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10729.0,1.0,0.0,0.0,0.0,1031.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1
SRR17641768,0.0,31.0,0.0,0.0,44083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6409.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641769,0.0,241.0,0.0,0.0,21179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9629.0,0.0,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641770,0.0,223.0,0.0,0.0,17881.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6552.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
SRR17641771,0.0,16.0,0.0,0.0,34067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,30.0,0.0,0.0,0.0,1120.0,0.0,9.0,0.0,0.0,0.0,0.0,3740.0,1
SRR17641772,0.0,44.0,0.0,0.0,19718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7356.0,2.0,0.0,0.0,0.0,473.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641773,0.0,8.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,19233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641774,0.0,176.0,0.0,0.0,25331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069.0,0.0,0.0,0.0,0.0,2642.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SRR17641775,0.0,1828.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21735.0,3.0,0.0,0.0,0.0,1463.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,1
SRR17641776,0.0,36.0,0.0,0.0,38283.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4166.0,0.0,0.0,0.0,0.0,3705.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1
SRR17641777,0.0,34.0,0.0,0.0,33430.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4213.0,0.0,0.0,0.0,1.0,59.0,1.0,0.0,0.0,126.0,0.0,0.0,0.0,1
SRR17641778,0.0,95.0,0.0,0.0,22893.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,48.0,7966.0,0.0,0.0,0.0,0.0,710.0,1.0,8.0,0.0,125.0,0.0,0.0,0.0,1
