acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Ignavibacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Nitrospira,Spirochaetia,Synergistia,class
SRR11807136,137.0,0.0,5257.0,214.0,0.0,0.0,47780.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,28412.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807137,342.0,102.0,725.0,0.0,0.0,0.0,46993.0,1829.0,0.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2416.0,0.0,0.0,0.0,1
SRR11807138,176.0,0.0,2508.0,161.0,0.0,0.0,132380.0,1652.0,0.0,1.0,0.0,13.0,0.0,0.0,23740.0,1.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,1
SRR11807139,139.0,0.0,534.0,71.0,0.0,0.0,48181.0,1128.0,0.0,1.0,0.0,9.0,0.0,0.0,34837.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,1
SRR11807140,748.0,276.0,739.0,125.0,0.0,0.0,36477.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,26913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807141,411.0,0.0,802.0,0.0,3.0,0.0,30004.0,652.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807142,332.0,172.0,345.0,120.0,0.0,0.0,40157.0,137.0,0.0,0.0,0.0,10.0,0.0,0.0,59290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807143,79.0,285.0,389.0,61.0,0.0,0.0,13668.0,2268.0,0.0,7.0,1.0,17103.0,0.0,0.0,53618.0,0.0,0.0,0.0,17324.0,0.0,0.0,0.0,0.0,1
SRR11807144,410.0,256.0,11002.0,290.0,30.0,0.0,29608.0,3097.0,0.0,0.0,0.0,3552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807145,268.0,265.0,460.0,8.0,0.0,0.0,30833.0,5315.0,0.0,3.0,0.0,3257.0,0.0,0.0,28300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
