acc,Fungi,Metazoa,Viridiplantae,class
SRR10338036,0.0,78058893.0,361.0,0
SRR10338037,1.0,110461240.0,363.0,0
SRR10338038,1.0,110112670.0,222.0,0
SRR10338039,1.0,107594087.0,249.0,0
SRR10338040,3.0,86140705.0,204.0,0
SRR10338041,1.0,107355658.0,183.0,1
SRR10338042,12.0,83690027.0,237.0,1
SRR10338043,7.0,88272803.0,1004.0,1
SRR10338044,14.0,90450543.0,1534.0,1
