acc,Acholeplasmataceae,Acidaminococcaceae,Acidobacteriaceae,Actinomycetaceae,Aerococcaceae,Alicyclobacillaceae,Anaplasmataceae,Aspergillaceae,Atopobiaceae,Bacillaceae,Bacteroidaceae,Bifidobacteriaceae,Blattabacteriaceae,Burkholderiaceae,Campylobacteraceae,Candidatus Midichloriaceae,Carnobacteriaceae,Chromobacteriaceae,Clostridiaceae,Clostridiales Family XII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis,Coriobacteriaceae,Corynebacteriaceae,Cyclobacteriaceae,Dehalococcoidaceae,Desulfovibrionaceae,Desulfurellaceae,Eggerthellaceae,Elusimicrobiaceae,Enterobacteriaceae,Enterococcaceae,Erwiniaceae,Erysipelotrichaceae,Eubacteriaceae,Francisellaceae,Fusobacteriaceae,Hyphomonadaceae,Lachnospiraceae,Lactobacillaceae,Leptotrichiaceae,Leuconostocaceae,Listeriaceae,Methanobacteriaceae,Methylobacteriaceae,Microbacteriaceae,Micrococcaceae,Moraxellaceae,Mycoplasmataceae,Nautiliaceae,Pasteurellaceae,Peptoniphilaceae,Peptostreptococcaceae,Porphyromonadaceae,Prevotellaceae,Propionibacteriaceae,Pseudomonadaceae,Rhizobiaceae,Rhodocyclaceae,Rickettsiaceae,Rosaceae,Selenomonadaceae,Spirochaetaceae,Spiroplasmataceae,Sporomusaceae,Staphylococcaceae,Streptococcaceae,Synergistaceae,Syntrophomonadaceae,Thermaceae,Veillonellaceae,class
SRR5796769,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,13.0,10.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,6.0,0.0,0.0,0.0,1
SRR5796770,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,2.0,0.0,72.0,154.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,7.0,4.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,1
SRR5796771,8.0,0.0,0.0,50.0,21.0,0.0,0.0,0.0,28.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,5.0,0.0,28.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,12.0,439.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,0.0,0.0,74.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,1.0,0.0,0.0,1.0,1
SRR5796772,2.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,577.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,12.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,52.0,3.0,0.0,0.0,18.0,2.0,1.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1264.0,1
SRR5796773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,84.0,0.0,2.0,0.0,0.0,0.0,0.0,172.0,1.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,6.0,459.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,124.0,6.0,0.0,0.0,29.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,69.0,1
SRR5796774,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,818.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,15.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,11.0,1
SRR5796775,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,3.0,1.0,74.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,145.0,1.0,0.0,0.0,3.0,5.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1
SRR5796776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1
SRR5796777,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,77.0,2.0,0.0,5.0,9.0,8.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1
SRR5796778,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,36.0,3.0,0.0,3.0,0.0,69.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,7.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,32.0,4.0,0.0,1.0,0.0,1
