acc,Actinomycetales,Bacillales,Bacteroidales,Burkholderiales,Campylobacterales,Candidatus Gastranaerophilales,Caulobacterales,Chitinophagales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Desulfobacterales,Desulfuromonadales,Eggerthellales,Enterobacterales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Holosporales,Ignavibacteriales,Lactobacillales,Magnetococcales,Methanobacteriales,Micrococcales,Myxococcales,Nautiliales,Neisseriales,Nitrospirales,Nostocales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodospirillales,Sphingomonadales,Spirochaetales,Synergistales,Thiotrichales,Veillonellales,Vibrionales,Xanthomonadales,class
SRR11807120,0.0,46.0,38.0,0.0,0.0,0.0,0.0,0.0,36689.0,181.0,0.0,0.0,0.0,0.0,116.0,0.0,726.0,0.0,0.0,0.0,0.0,1057.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807121,4.0,55.0,14.0,0.0,0.0,0.0,0.0,0.0,26820.0,75.0,0.0,0.0,0.0,0.0,125.0,0.0,83.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,248.0,0.0,0.0,1
SRR11807122,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,38655.0,98.0,0.0,0.0,0.0,0.0,0.0,14557.0,115.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
SRR11807123,13.0,167.0,0.0,0.0,0.0,0.0,0.0,10.0,43158.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,1579.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807124,0.0,28.0,145.0,0.0,0.0,0.0,0.0,0.0,12289.0,417.0,0.0,3.0,0.0,0.0,320.0,4577.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807125,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,32033.0,637.0,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807126,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,28203.0,165.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807127,21.0,140.0,114.0,0.0,0.0,0.0,0.0,0.0,11869.0,12.0,0.0,152.0,0.0,0.0,412.0,926.0,228.0,0.0,0.0,0.0,0.0,628.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807128,38.0,16.0,73.0,0.0,0.0,0.0,0.0,0.0,26565.0,22.0,0.0,0.0,0.0,0.0,293.0,650.0,49.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807129,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,51702.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,283.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
