acc,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cucurbitales,Cytophagales,Eggerthellales,Enterobacterales,Erysipelotrichales,Fusobacteriales,Lactobacillales,Legionellales,Micrococcales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Xanthomonadales,class
SRR8980791,0.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980792,0.0,0.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR8980793,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980794,0.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980795,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980796,0.0,0.0,0.0,826.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,220.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980797,0.0,0.0,0.0,1471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980798,0.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,197.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980799,0.0,0.0,0.0,842.0,5.0,1168.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980800,0.0,0.0,0.0,646.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980801,0.0,0.0,0.0,1173.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,205.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980802,0.0,0.0,0.0,897.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,149.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980803,0.0,0.0,0.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980804,0.0,0.0,0.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980805,0.0,0.0,0.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980806,0.0,0.0,0.0,531.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980807,0.0,0.0,0.0,711.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980808,0.0,0.0,0.0,855.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980809,0.0,0.0,0.0,5033.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980810,0.0,0.0,0.0,1113.0,0.0,67.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980811,0.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980812,0.0,0.0,0.0,1336.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980813,0.0,0.0,0.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980814,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
SRR8980815,0.0,0.0,0.0,981.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR8980816,0.0,0.0,0.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
