acc,Acidobacteriia,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Elusimicrobia,Epsilonproteobacteria,Erysipelotrichia,Eurotiomycetes,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Negativicutes,Spartobacteria,Spirochaetia,Synergistia,Tissierellia,class
SRR5796801,0.0,258.0,1.0,267.0,270.0,0.0,4083.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,9.0,418.0,0.0,7.0,91.0,0.0,0.0,1.0,29.0,1
SRR5796802,0.0,30.0,0.0,70.0,83.0,0.0,978.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0,610.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,1
SRR5796803,0.0,190.0,0.0,430.0,722.0,0.0,2690.0,148.0,0.0,0.0,0.0,2.0,0.0,3.0,112.0,0.0,2.0,5.0,37.0,0.0,10.0,27.0,0.0,0.0,2.0,39.0,1
SRR5796804,0.0,68.0,0.0,78.0,445.0,1.0,434.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,1
SRR5796805,0.0,27.0,0.0,72.0,114.0,0.0,1886.0,38.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,2.0,1.0,379.0,0.0,1.0,3.0,1.0,0.0,1.0,15.0,1
SRR5796806,0.0,222.0,0.0,184.0,276.0,0.0,1275.0,99.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,3.0,251.0,0.0,3.0,4.0,0.0,0.0,0.0,15.0,1
SRR5796807,0.0,138.0,1.0,424.0,83.0,0.0,815.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,42.0,1
SRR5796808,0.0,101.0,0.0,158.0,198.0,0.0,2289.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,12.0,2.0,0.0,0.0,2.0,6.0,1
SRR5796809,0.0,31.0,0.0,238.0,438.0,4.0,2648.0,214.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1858.0,318.0,0.0,1.0,16.0,0.0,2.0,11.0,1
SRR5796810,0.0,399.0,1.0,465.0,273.0,0.0,3687.0,643.0,0.0,0.0,1.0,0.0,0.0,0.0,194.0,0.0,0.0,13.0,4.0,0.0,13.0,12.0,1.0,0.0,9.0,19.0,1
SRR5796811,0.0,499.0,0.0,70.0,59.0,1.0,578.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,511.0,0.0,2.0,1.0,0.0,0.0,1.0,13.0,1
SRR5796812,0.0,105.0,0.0,70.0,14.0,0.0,2193.0,225.0,0.0,2.0,0.0,1.0,1.0,0.0,382.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,14.0,1
SRR5796813,0.0,55.0,0.0,265.0,140.0,1.0,2168.0,81.0,0.0,2.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,6.0,1598.0,0.0,6.0,4.0,1.0,0.0,5.0,7.0,1
SRR5796814,0.0,1435.0,0.0,6708.0,159.0,0.0,1422.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,277.0,0.0,7.0,18.0,0.0,0.0,0.0,26.0,1
SRR5796815,0.0,293.0,1.0,197.0,273.0,0.0,11206.0,182.0,0.0,5.0,0.0,4.0,0.0,0.0,55.0,0.0,3.0,8.0,738.0,0.0,71.0,10.0,0.0,0.0,196.0,19.0,1
SRR5796816,0.0,306.0,0.0,193.0,66.0,1.0,2633.0,201.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,7490.0,0.0,25.0,7.0,0.0,0.0,20.0,16.0,1
SRR5796817,0.0,203.0,0.0,2500.0,20.0,0.0,4034.0,409.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,480.0,0.0,7.0,52.0,0.0,0.0,2.0,21.0,1
