acc,Acetobacteraceae,Actinomycetaceae,Aerococcaceae,Alcaligenaceae,Alicyclobacillaceae,Bacillaceae,Bacteroidaceae,Burkholderiaceae,Campylobacteraceae,Caulobacteraceae,Chitinophagaceae,Chromobacteriaceae,Clostridiaceae,Clostridiales Family XII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis,Coriobacteriaceae,Corynebacteriaceae,Desulfobacteraceae,Desulfobulbaceae,Eggerthellaceae,Enterobacteriaceae,Erysipelotrichaceae,Flammeovirgaceae,Flavobacteriaceae,Francisellaceae,Fusobacteriaceae,Geobacteraceae,Holosporaceae,Hymenobacteraceae,Hyphomonadaceae,Intrasporangiaceae,Kofleriaceae,Labilitrichaceae,Lachnospiraceae,Lactobacillaceae,Leuconostocaceae,Melioribacteraceae,Methanobacteriaceae,Methylobacteriaceae,Microbacteriaceae,Micrococcaceae,Microviridae,Nautiliaceae,Nitrospiraceae,Nocardioidaceae,Odoribacteraceae,Oxalobacteraceae,Paenibacillaceae,Peptococcaceae,Peptostreptococcaceae,Persicobacteraceae,Phyllobacteriaceae,Polyangiaceae,Porphyromonadaceae,Prevotellaceae,Propionibacteriaceae,Pseudomonadaceae,Rhodanobacteraceae,Rhodospirillaceae,Ruminococcaceae,Sphingomonadaceae,Spirochaetaceae,Staphylococcaceae,Streptococcaceae,Symphyonemataceae,Synergistaceae,Veillonellaceae,Vibrionaceae,Xanthomonadaceae,class
SRR11807445,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,23.0,0.0,0.0,0.0,489.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4459.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.0,16.0,0.0,20.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22827.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807447,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,1312.0,6.0,5.0,47.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22509.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807448,0.0,90.0,22.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,43.0,0.0,109.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35767.0,65.0,61.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10011.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807449,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,761.0,0.0,413.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10386.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8568.0,2.0,0.0,0.0,188.0,0.0,0.0,461.0,0.0,0.0,1
SRR11807450,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,36.0,1360.0,0.0,0.0,0.0,961.0,0.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9288.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807451,0.0,35.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,9.0,36.0,248.0,0.0,0.0,0.0,2718.0,0.0,998.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27089.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,33.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10439.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807452,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9037.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,353.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807453,0.0,0.0,29.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19218.0,43.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,75.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3010.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807454,0.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,23.0,0.0,0.0,0.0,525.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28954.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,75.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2558.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807455,1.0,0.0,0.0,0.0,0.0,5.0,12285.0,0.0,0.0,0.0,0.0,0.0,1774.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,26.0,1
SRR11807456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,6.0,0.0,45.0,0.0,0.0,0.0,856.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20262.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10902.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807457,0.0,0.0,0.0,0.0,0.0,0.0,3063.0,0.0,0.0,0.0,0.0,0.0,1086.0,2.0,9.0,0.0,0.0,0.0,0.0,44.0,0.0,778.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5363.0,4.0,0.0,0.0,2172.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,1
