acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Epsilonproteobacteria,Erysipelotrichia,Fusobacteriia,Gammaproteobacteria,class
SRR8980813,0.0,0.0,56.0,0.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,8908.0,1
SRR8980814,0.0,26.0,56.0,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,9137.0,1
SRR8980815,0.0,12.0,35.0,0.0,1144.0,10.0,0.0,0.0,0.0,0.0,0.0,10787.0,1
SRR8980816,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980817,4.0,0.0,25.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,9796.0,1
SRR8980818,0.0,0.0,27.0,0.0,1098.0,0.0,0.0,0.0,0.0,0.0,1.0,10822.0,1
SRR8980819,1.0,0.0,2.0,0.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980820,5.0,20.0,15.0,0.0,996.0,97.0,0.0,0.0,0.0,73.0,0.0,9618.0,1
SRR8980821,0.0,5.0,0.0,0.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980822,0.0,0.0,24.0,0.0,1021.0,0.0,15.0,0.0,0.0,0.0,0.0,11744.0,1
SRR8980823,0.0,0.0,74.0,0.0,1562.0,1.0,0.0,0.0,0.0,0.0,0.0,9622.0,1
SRR8980824,1.0,0.0,69.0,0.0,2063.0,39.0,0.0,0.0,0.0,0.0,0.0,9896.0,1
SRR8980825,0.0,0.0,55.0,0.0,478.0,3856.0,0.0,0.0,0.0,57.0,0.0,7511.0,1
SRR8980826,1.0,0.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,7411.0,1
SRR8980827,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980828,0.0,0.0,1.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,8959.0,1
SRR8980829,1.0,0.0,4.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,9406.0,1
SRR8980830,0.0,0.0,370.0,0.0,4070.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,1
