acc,Acidobacteria,Actinobacteria,Armatimonadetes,Ascomycota,Bacteroidetes,Chloroflexi,Deinococcus-Thermus,Elusimicrobia,Euryarchaeota,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Tenericutes,Verrucomicrobia,class
SRR5796746,0.0,396.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,3569.0,0.0,1048.0,0.0,0.0,12.0,14.0,1.0,1
SRR5796747,0.0,464.0,0.0,0.0,599.0,2.0,1.0,0.0,0.0,5167.0,4.0,2814.0,0.0,0.0,9.0,3.0,0.0,1
SRR5796748,1.0,383.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,1575.0,12.0,1006.0,0.0,0.0,2.0,15.0,0.0,1
SRR5796749,0.0,340.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,2169.0,2.0,192.0,0.0,0.0,5.0,1.0,0.0,1
SRR5796750,0.0,570.0,0.0,0.0,39.0,0.0,0.0,0.0,360.0,5576.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,1
SRR5796751,0.0,1045.0,0.0,0.0,110.0,4.0,0.0,0.0,0.0,5499.0,4.0,3.0,0.0,0.0,1.0,9.0,0.0,1
SRR5796752,0.0,406.0,0.0,0.0,327.0,1.0,0.0,0.0,0.0,3884.0,0.0,675.0,0.0,0.0,1.0,10.0,3.0,1
SRR5796753,0.0,361.0,0.0,0.0,51.0,1.0,0.0,2.0,0.0,1971.0,0.0,6276.0,0.0,0.0,1.0,7.0,1.0,1
SRR5796754,0.0,344.0,0.0,0.0,163.0,6.0,0.0,1.0,0.0,4315.0,0.0,233.0,0.0,0.0,4.0,11.0,2.0,1
SRR5796755,0.0,340.0,0.0,0.0,3428.0,6.0,0.0,0.0,0.0,5569.0,2.0,611.0,0.0,0.0,7.0,36.0,0.0,1
SRR5796756,0.0,1140.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1967.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1
SRR5796757,0.0,1014.0,0.0,0.0,92.0,6.0,0.0,0.0,0.0,4472.0,1.0,470.0,0.0,2.0,3.0,20.0,0.0,1
SRR5796758,0.0,2262.0,0.0,0.0,210.0,1.0,0.0,0.0,0.0,2326.0,14.0,258.0,0.0,0.0,2.0,4.0,0.0,1
SRR5796759,0.0,346.0,0.0,0.0,119.0,2.0,0.0,0.0,0.0,2342.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,1
SRR5796760,0.0,392.0,0.0,0.0,96.0,1.0,0.0,0.0,0.0,3356.0,0.0,1068.0,0.0,0.0,5.0,4.0,0.0,1
SRR5796761,0.0,151.0,0.0,0.0,93.0,2.0,1.0,0.0,0.0,3032.0,0.0,986.0,0.0,0.0,9.0,8.0,1.0,1
SRR5796762,0.0,342.0,0.0,0.0,196.0,1.0,0.0,0.0,0.0,4246.0,7.0,657.0,0.0,0.0,3.0,3.0,1.0,1
SRR5796763,0.0,60.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1387.0,0.0,329.0,0.0,0.0,1.0,4.0,0.0,1
SRR5796764,0.0,146.0,0.0,0.0,66.0,3.0,1.0,2.0,1.0,5802.0,2.0,915.0,0.0,0.0,3.0,4.0,0.0,1
SRR5796765,0.0,494.0,0.0,0.0,40.0,1.0,1.0,0.0,0.0,5481.0,0.0,1169.0,0.0,0.0,2.0,5.0,0.0,1
SRR5796766,0.0,91.0,0.0,0.0,160.0,0.0,0.0,3.0,0.0,4315.0,0.0,2117.0,0.0,0.0,3.0,1.0,1.0,1
SRR5796767,0.0,514.0,0.0,0.0,411.0,1.0,0.0,0.0,0.0,5601.0,10.0,832.0,0.0,0.0,5.0,9.0,0.0,1
SRR5796768,0.0,179.0,0.0,0.0,250.0,3.0,1.0,0.0,0.0,7837.0,11.0,3129.0,0.0,0.0,4.0,3.0,2.0,1
SRR5796769,0.0,160.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,3703.0,0.0,709.0,0.0,0.0,6.0,5.0,1.0,1
SRR5796770,0.0,166.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,2943.0,2.0,422.0,0.0,0.0,0.0,4.0,0.0,1
SRR5796771,0.0,551.0,0.0,0.0,163.0,3.0,0.0,0.0,0.0,4181.0,1.0,1469.0,0.0,0.0,1.0,11.0,0.0,1
SRR5796772,0.0,669.0,0.0,0.0,602.0,1.0,0.0,0.0,0.0,5822.0,0.0,1697.0,0.0,0.0,1.0,5.0,0.0,1
SRR5796773,0.0,143.0,0.0,0.0,190.0,2.0,0.0,0.0,0.0,4900.0,0.0,2030.0,0.0,0.0,0.0,6.0,1.0,1
SRR5796774,0.0,65.0,0.0,0.0,115.0,0.0,0.0,1.0,0.0,5185.0,0.0,1633.0,0.0,0.0,2.0,6.0,6.0,1
SRR5796775,0.0,90.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1105.0,3.0,1087.0,0.0,0.0,3.0,3.0,0.0,1
SRR5796776,0.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,160.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,1
SRR5796777,0.0,58.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,1306.0,1.0,504.0,0.0,0.0,0.0,5.0,0.0,1
SRR5796778,0.0,151.0,0.0,0.0,55.0,2.0,1.0,0.0,0.0,3478.0,4.0,284.0,0.0,0.0,4.0,4.0,0.0,1
SRR5796779,0.0,129.0,0.0,0.0,341.0,1.0,0.0,0.0,0.0,5307.0,7.0,2080.0,0.0,1.0,0.0,8.0,1.0,1
SRR5796780,0.0,519.0,0.0,0.0,199.0,2.0,0.0,0.0,0.0,16192.0,1.0,824.0,0.0,0.0,1.0,13.0,0.0,1
SRR5796781,2.0,220.0,0.0,0.0,150.0,2.0,0.0,0.0,0.0,2529.0,2.0,2758.0,0.0,0.0,1.0,3.0,0.0,1
SRR5796782,0.0,740.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,3238.0,9.0,1974.0,0.0,0.0,1.0,5.0,5.0,1
SRR5796783,0.0,89.0,0.0,0.0,104.0,2.0,0.0,0.0,0.0,1896.0,0.0,619.0,0.0,0.0,0.0,5.0,1.0,1
SRR5796784,0.0,879.0,0.0,0.0,543.0,0.0,1.0,0.0,0.0,3511.0,4.0,317.0,0.0,0.0,1.0,260.0,0.0,1
SRR5796785,0.0,654.0,0.0,0.0,49.0,2.0,0.0,0.0,0.0,4347.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,1
SRR5796786,0.0,211.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,2481.0,0.0,309.0,0.0,0.0,1.0,1.0,0.0,1
SRR5796787,0.0,105.0,0.0,0.0,175.0,1.0,0.0,0.0,0.0,2403.0,9.0,866.0,0.0,0.0,1.0,7.0,0.0,1
