acc,Acholeplasmatales,Acidaminococcales,Acidobacteriales,Actinomycetales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Dehalococcoidales,Desulfovibrionales,Desulfurellales,Eggerthellales,Elusimicrobiales,Enterobacterales,Entomoplasmatales,Erysipelotrichales,Eurotiales,Flavobacteriales,Fusobacteriales,Lactobacillales,Methanobacteriales,Micrococcales,Mycoplasmatales,Nautiliales,Neisseriales,Pasteurellales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rickettsiales,Rosales,Selenomonadales,Spirochaetales,Synergistales,Thermales,Thiotrichales,Tissierellales,Veillonellales,class
SRR5796806,0.0,0.0,0.0,15.0,1.0,276.0,158.0,0.0,0.0,1106.0,29.0,1.0,0.0,1.0,0.0,0.0,36.0,0.0,1.0,0.0,11.0,0.0,2.0,3.0,152.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,1
SRR5796807,2.0,0.0,0.0,9.0,5.0,83.0,61.0,0.0,0.0,782.0,1.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,4.0,1
SRR5796808,1.0,0.0,0.0,0.0,0.0,198.0,36.0,0.0,0.0,2113.0,0.0,17.0,0.0,0.0,0.0,0.0,132.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,140.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,1
SRR5796809,0.0,0.0,0.0,3.0,12.0,438.0,1.0,1.0,0.0,2600.0,0.0,11.0,0.0,0.0,1.0,0.0,183.0,0.0,94.0,0.0,1.0,0.0,1.0,0.0,139.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,1
SRR5796810,5.0,0.0,0.0,54.0,6.0,273.0,144.0,0.0,0.0,3596.0,64.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,194.0,0.0,0.0,13.0,345.0,0.0,14.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9.0,1.0,0.0,19.0,9.0,1
SRR5796811,0.0,0.0,0.0,3.0,2.0,59.0,454.0,0.0,0.0,538.0,8.0,8.0,0.0,1.0,0.0,0.0,5.0,0.0,27.0,0.0,15.0,0.0,0.0,3.0,54.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,1
SRR5796812,1.0,0.0,0.0,22.0,6.0,14.0,3.0,0.0,0.0,2141.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,1.0,1.0,382.0,0.0,0.0,0.0,40.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,1.0,1
SRR5796813,4.0,0.0,0.0,6.0,130.0,140.0,0.0,1.0,3.0,1996.0,15.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,86.0,0.0,36.0,0.0,0.0,6.0,91.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,7.0,0.0,1
SRR5796814,3.0,0.0,0.0,14.0,1.0,159.0,1186.0,0.0,0.0,1390.0,59.0,2.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6635.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,26.0,11.0,1
SRR5796815,70.0,0.0,0.0,0.0,8.0,273.0,226.0,0.0,0.0,10852.0,31.0,1.0,0.0,0.0,4.0,0.0,62.0,0.0,4.0,0.0,55.0,0.0,3.0,8.0,127.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,196.0,0.0,0.0,19.0,9.0,1
SRR5796816,21.0,0.0,0.0,3.0,58.0,66.0,238.0,0.0,0.0,2503.0,48.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,519.0,0.0,48.0,0.0,0.0,2.0,67.0,0.0,7.0,4.0,0.0,0.0,2.0,0.0,177.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,16.0,0.0,1
SRR5796817,1.0,0.0,0.0,2.0,830.0,20.0,160.0,0.0,0.0,3995.0,1.0,0.0,0.0,1.0,0.0,0.0,278.0,0.0,13.0,0.0,17.0,1.0,0.0,0.0,617.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,52.0,1
