acc,Acholeplasmatales,Acidaminococcales,Acidobacteriales,Actinomycetales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Dehalococcoidales,Desulfovibrionales,Desulfurellales,Eggerthellales,Elusimicrobiales,Enterobacterales,Entomoplasmatales,Erysipelotrichales,Eurotiales,Flavobacteriales,Fusobacteriales,Lactobacillales,Methanobacteriales,Micrococcales,Mycoplasmatales,Nautiliales,Neisseriales,Pasteurellales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rickettsiales,Rosales,Selenomonadales,Spirochaetales,Synergistales,Thermales,Thiotrichales,Tissierellales,Veillonellales,class
SRR5796766,0.0,0.0,0.0,3.0,0.0,159.0,11.0,0.0,0.0,3147.0,2.0,7.0,0.0,0.0,3.0,0.0,5.0,3.0,64.0,0.0,14.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,2.0,1
SRR5796767,0.0,0.0,0.0,0.0,7.0,328.0,244.0,0.0,1.0,4146.0,24.0,0.0,0.0,0.0,1.0,0.0,139.0,0.0,0.0,0.0,34.0,0.0,0.0,10.0,363.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,25.0,24.0,1
SRR5796768,0.0,0.0,0.0,2.0,19.0,248.0,27.0,0.0,0.0,5870.0,32.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,13.0,0.0,105.0,0.0,2.0,11.0,212.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,1.0,0.0,24.0,10.0,1
SRR5796769,0.0,0.0,0.0,13.0,4.0,51.0,2.0,0.0,0.0,2865.0,5.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,155.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,13.0,0.0,1
SRR5796770,0.0,0.0,0.0,1.0,0.0,195.0,31.0,0.0,0.0,1612.0,11.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,1.0,13.0,0.0,0.0,2.0,202.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,1
SRR5796771,8.0,0.0,0.0,50.0,4.0,74.0,340.0,0.0,0.0,2726.0,38.0,27.0,0.0,0.0,2.0,0.0,6.0,0.0,19.0,0.0,9.0,0.0,1.0,1.0,589.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,74.0,1.0,1
SRR5796772,2.0,0.0,0.0,3.0,1.0,602.0,577.0,1.0,0.0,1178.0,0.0,12.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,86.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,18.0,1264.0,1
SRR5796773,0.0,0.0,0.0,0.0,51.0,128.0,84.0,2.0,0.0,3039.0,1.0,12.0,0.0,2.0,0.0,0.0,16.0,0.0,45.0,0.0,18.0,0.0,0.0,0.0,683.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,69.0,1
SRR5796774,0.0,0.0,0.0,0.0,6.0,41.0,1.0,0.0,0.0,3567.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,73.0,0.0,75.0,0.0,1.0,0.0,53.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,11.0,1
SRR5796775,2.0,0.0,0.0,0.0,2.0,54.0,0.0,0.0,0.0,743.0,13.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,44.0,0.0,20.0,0.0,0.0,3.0,70.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,146.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,1
SRR5796776,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
