acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807145,5596.0,0.0,9.0,0.0,0.0,0.0,0.0,44269.0,0.0,0.0,0.0,0.0,44808.0,0.0,0.0,0.0,0.0,1
SRR11807146,2504.0,0.0,1.0,0.0,0.0,0.0,0.0,32977.0,0.0,0.0,0.0,0.0,37980.0,0.0,0.0,0.0,0.0,1
SRR11807147,5973.0,0.0,44.0,0.0,0.0,0.0,0.0,66224.0,0.0,0.0,0.0,0.0,46519.0,1.0,0.0,0.0,0.0,1
SRR11807148,3244.0,0.0,134.0,0.0,0.0,0.0,0.0,45568.0,0.0,0.0,0.0,0.0,47162.0,0.0,0.0,0.0,0.0,1
SRR11807149,5684.0,0.0,174.0,0.0,0.0,0.0,18660.0,49221.0,0.0,0.0,0.0,0.0,13851.0,0.0,0.0,0.0,0.0,1
SRR11807150,15274.0,0.0,298.0,0.0,0.0,0.0,0.0,30222.0,0.0,0.0,0.0,0.0,24152.0,0.0,0.0,0.0,1.0,1
SRR11807151,3627.0,0.0,6.0,0.0,0.0,0.0,0.0,47554.0,0.0,0.0,0.0,0.0,12046.0,0.0,0.0,0.0,0.0,1
SRR11807152,1184.0,0.0,11.0,0.0,0.0,0.0,0.0,25658.0,0.0,0.0,0.0,0.0,6372.0,0.0,0.0,0.0,0.0,1
SRR11807153,6024.0,0.0,95.0,0.0,0.0,0.0,0.0,41038.0,0.0,0.0,0.0,0.0,33954.0,0.0,0.0,0.0,0.0,1
SRR11807154,1230.0,0.0,46.0,0.0,0.0,0.0,0.0,44670.0,0.0,0.0,0.0,0.0,8797.0,0.0,0.0,0.0,0.0,1
SRR11807155,867.0,0.0,7237.0,0.0,1.0,0.0,0.0,79658.0,0.0,0.0,0.0,0.0,14019.0,0.0,0.0,0.0,0.0,1
SRR11807156,1896.0,0.0,0.0,0.0,0.0,0.0,0.0,63771.0,0.0,0.0,0.0,0.0,40824.0,0.0,0.0,0.0,0.0,1
SRR11807157,2305.0,0.0,0.0,0.0,0.0,0.0,0.0,64411.0,0.0,0.0,0.0,0.0,9890.0,0.0,0.0,0.0,0.0,1
SRR11807158,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,28861.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
SRR11807159,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,57590.0,0.0,0.0,0.0,0.0,42072.0,0.0,0.0,0.0,0.0,1
SRR11807160,7631.0,0.0,42.0,0.0,0.0,0.0,0.0,46998.0,0.0,0.0,0.0,0.0,33534.0,0.0,2.0,0.0,0.0,1
SRR11807161,4058.0,0.0,5.0,0.0,0.0,0.0,0.0,70414.0,0.0,0.0,0.0,0.0,45668.0,0.0,0.0,0.0,0.0,1
SRR11807162,437.0,0.0,151.0,0.0,0.0,0.0,0.0,38530.0,0.0,0.0,0.0,0.0,37417.0,0.0,0.0,0.0,0.0,1
SRR11807163,2540.0,0.0,128.0,0.0,0.0,0.0,0.0,42212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807164,2874.0,0.0,8.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,0.0,0.0,31277.0,0.0,0.0,0.0,0.0,1
SRR11807165,689.0,0.0,121.0,0.0,0.0,0.0,0.0,54335.0,0.0,0.0,0.0,0.0,44213.0,0.0,0.0,0.0,0.0,1
SRR11807166,7077.0,0.0,103.0,0.0,0.0,0.0,23.0,45474.0,0.0,0.0,0.0,0.0,28472.0,0.0,0.0,0.0,0.0,1
SRR11807167,5860.0,0.0,52.0,0.0,0.0,0.0,909.0,43317.0,0.0,0.0,0.0,0.0,31167.0,0.0,0.0,0.0,0.0,1
