acc,Acidobacteriia,Actinomycetia,Alphaproteobacteria,Anaerolineae,Aquificae,Bacilli,Bacteroidia,Balneolia,Betaproteobacteria,Blastocatellia,Chitinophagia,Chlamydiia,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cytophagia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Lentisphaeria,Methanobacteria,Methanomicrobia,Mollicutes,Negativicutes,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Planctomycetia,Rubrobacteria,Saprospiria,Sphingobacteriia,Spirochaetia,Synergistia,Thermodesulfobacteria,Thermoleophilia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,class
SRR17641741,0.0,135.0,13.0,0.0,0.0,23.0,30000.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,1342.0,258.0,0.0,0.0,0.0,12.0,0.0,47.0,0.0,1721.0,69.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641742,0.0,1.0,1.0,0.0,0.0,5.0,21384.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,4273.0,86.0,0.0,0.0,0.0,937.0,0.0,27.0,1.0,0.0,3828.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641743,0.0,112.0,20.0,0.0,0.0,11.0,9196.0,0.0,1066.0,0.0,0.0,0.0,0.0,1.0,2506.0,130.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,1.0,13014.0,0.0,0.0,0.0,0.0,440.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641744,8.0,115.0,16.0,0.0,0.0,6.0,16585.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,2823.0,120.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,3433.0,0.0,0.0,0.0,0.0,3322.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1
SRR17641745,0.0,82.0,0.0,0.0,0.0,27.0,5272.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,1426.0,13.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,12235.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641746,0.0,42.0,5.0,0.0,0.0,6.0,26479.0,0.0,1060.0,0.0,5.0,0.0,0.0,0.0,3243.0,762.0,0.0,0.0,0.0,1046.0,0.0,54.0,0.0,0.0,1283.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641747,0.0,14.0,3.0,0.0,0.0,315.0,16784.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,13894.0,45.0,0.0,0.0,0.0,0.0,13.0,59.0,0.0,0.0,1313.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641748,0.0,352.0,2.0,0.0,0.0,55.0,4666.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,7011.0,835.0,0.0,0.0,0.0,1.0,0.0,137.0,0.0,24.0,32.0,0.0,0.0,0.0,0.0,5635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641749,0.0,467.0,68.0,1.0,0.0,44.0,10277.0,0.0,115.0,0.0,229.0,0.0,0.0,0.0,4729.0,353.0,2.0,0.0,0.0,3.0,0.0,99.0,0.0,10.0,15.0,0.0,2.0,4.0,0.0,5466.0,113.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
SRR17641750,0.0,81.0,0.0,0.0,0.0,87.0,8562.0,0.0,139.0,0.0,13.0,0.0,0.0,0.0,3733.0,173.0,0.0,0.0,0.0,201.0,0.0,26.0,0.0,2.0,187.0,0.0,278.0,1.0,0.0,1235.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1
